"RT" "z_score" "Go1" "ACC" "Trial_type" "V1" "V2" "V3" "V4" "V5" "Smoothed_VTC"
"159" 0.79956 0.62287357206045 1 1 2 1 1 48 1 0 "Out_zone"
"160" 0.80029 0.63784111767716 1 1 1 1 1 48 1 0 "Out_zone"
"161" 0.79947 0.621028258217293 1 1 2 1 1 48 2 0 "Out_zone"
"162" 0.79953 0.622258467446065 1 0 1 0 1 48 2 0 "Out_zone"
"163" 0.79959 0.623488676674835 1 1 2 1 1 48 2 0 "Out_zone"
"164" 0.79962 0.62410378128922 1 1 1 1 1 48 1 0 "Out_zone"
"165" 0.79984 0.62861454846138 1 1 2 1 1 48 1 0 "Out_zone"
"166" 0.79983 0.628409513589919 1 1 1 1 1 48 1 0 "Out_zone"
"167" 0.69602 1.50005748705511 1 1 2 1 1 48 1 0 "Out_zone"
"168" 0.79154 0.45843560514808 1 1 1 1 1 48 2 0 "Out_zone"
"169" 0.75616 0.266977770083799 1 0 2 0 1 48 2 0 "Out_zone"
"170" 0.72078 0.992391145315674 1 1 1 1 1 48 2 0 "Out_zone"
"171" 0.80074 0.647067686892942 1 1 2 1 1 48 2 0 "Out_zone"
"172" 0.75853 0.218384505547348 1 1 1 1 1 48 1 0 "Out_zone"
"173" 0.71795 1.05041601393937 1 1 2 1 1 48 1 0 "Out_zone"
"174" 0.76755 0.0334430514887991 1 1 1 1 1 48 2 0 "Out_zone"
"175" 0.75863 0.21633415683273 1 1 2 1 1 48 1 0 "Out_zone"
"176" 0.8009 0.65034824483633 1 1 1 1 1 48 2 0 "Out_zone"
"177" 0.8007 0.646247547407094 1 1 2 1 1 48 1 0 "Out_zone"
"178" 0.69715 1.47688854657992 1 1 1 1 1 48 2 0 "Out_zone"
"179" 0.56789 4.12716929509526 1 1 2 1 1 48 1 0 "Out_zone"
"180" 0.74236 0.549925892701092 1 1 1 1 1 48 1 0 "Out_zone"
"181" 0.75164 0.359653531984535 1 1 2 1 1 48 2 0 "Out_zone"
"182" 0.70509 1.31409085863925 1 1 1 1 1 48 1 0 "Out_zone"
"183" 0.63529 2.74523426144267 1 1 2 1 1 48 2 0 "Out_zone"
"184" 0.63486 2.75405076091553 1 1 1 1 1 48 1 0 "Out_zone"
"185" 0.7221 0.965326542282716 1 1 2 1 1 48 1 0 "Out_zone"
"186" 0.7017 1.3835976800648 1 1 1 1 1 48 2 0 "Out_zone"
"187" 0.78889 0.4041013642107 1 1 2 1 1 48 2 0 "Out_zone"
"188" 0.80186 0.670031592496665 1 1 1 1 1 48 1 1 "Out_zone"
"189" 0.80192 0.671261801725435 2 1 2 0 0 48 2 0 "Out_zone"
"190" 0.80198 0.672492010954207 2 1 1 0 0 48 1 0 "Out_zone"
"191" 0.80204 0.673722220182977 1 1 2 1 1 48 2 0 "Out_zone"
"192" 0.799925 0.630357344868805 1 0 1 0 1 48 1 0 "Out_zone"
"193" 0.79781 0.586992469554633 1 1 2 1 1 48 1 0 "Out_zone"
"194" 0.80246 0.682333684784372 1 1 1 1 1 48 1 0 "Out_zone"
"195" 0.79862 0.603600294143039 1 1 2 1 1 48 1 0 "Out_zone"
"196" 0.80008 0.633535385376463 1 1 1 1 1 48 2 0 "Out_zone"
"197" 0.68191 1.78936169068772 1 1 2 1 1 48 1 0 "Out_zone"
"198" 0.79811 0.593143515698487 1 1 1 1 1 48 1 1 "Out_zone"
"199" 0.65654 2.30953515958633 1 1 2 1 1 48 2 0 "Out_zone"
"200" 0.73988 0.600774540823621 1 1 1 1 1 48 2 0 "Out_zone"
"201" 0.73221 0.758036287234827 1 1 2 1 1 48 2 0 "Out_zone"
"202" 0.76529 0.0797809324391662 1 1 1 1 1 48 1 0 "Out_zone"
"203" 0.58206 3.83663488223387 1 1 2 1 1 48 1 0 "Out_zone"
"204" 0.58707 3.73391241163151 1 1 1 1 1 48 2 0 "Out_zone"
"205" 0.79033 0.4336263857012 1 1 2 1 1 48 1 0 "Out_zone"
"206" 0.69018 1.61979785198881 2 0 1 1 0 48 1 0 "Out_zone"
"207" 0.744945 0.496924378428216 1 0 2 0 1 48 1 1 "Out_zone"
"208" 0.79971 0.625949095132377 1 1 1 1 1 48 2 0 "Out_zone"
"209" 0.79908 0.613031898230282 1 1 2 1 1 48 2 1 "Out_zone"
"210" 0.65716 2.2968229975557 2 0 1 1 0 48 1 0 "Out_zone"
"211" 0.69212 1.58002108692522 2 1 2 0 0 48 2 1 "Out_zone"
"212" 0.72708 0.863219176294734 1 0 1 0 1 48 1 0 "Out_zone"
"213" 0.76204 0.146417265664253 1 1 2 1 1 48 1 0 "Out_zone"
"214" 0.7702 0.0208911894485809 1 1 1 1 1 48 1 0 "Out_zone"
"215" 0.72886 0.826722969174534 1 1 2 1 1 48 2 0 "Out_zone"
"216" 0.68328 1.76127191329745 1 1 1 1 1 48 1 0 "Out_zone"
"217" 0.74185 0.560382671145644 1 0 2 0 1 48 2 1 "Out_zone"
"218" 0.80042 0.640506571006165 1 1 1 1 1 48 1 0 "Out_zone"
"219" 0.80044 0.640916640749089 1 1 2 1 1 48 1 0 "Out_zone"
"220" 0.8002 0.635995803834005 1 1 1 1 1 48 1 0 "Out_zone"
